"Selected Geographies","Total","Male","Female"
" -> Total","288398819","141363811","147035008"
"Alabama","4448075","2147657","2300418"
"Alaska","658002","334799","323203"
"Arizona","5806266","2902590","2903676"
"Arkansas","2694665","1320930","1373735"
"California","35340566","17541652","17798914"
"Colorado","4540639","2276177","2264462"
"Connecticut","3365768","1636455","1729313"
"Delaware","825598","403999","421599"
"District of Columbia","508572","238733","269839"
"Florida","17363653","8484773","8878880"
"Georgia","8811648","4327448","4484200"
"Hawaii","1258528","618906","639622"
"Idaho","1408650","701193","707457"
"Illinois","12441864","6095157","6346707"
"Indiana","6081212","2992845","3088367"
"Iowa","2848266","1403209","1445057"
"Kansas","2669699","1312142","1357557"
"Kentucky","4065635","1987927","2077708"
"Louisiana","4387181","2120421","2266760"
"Maine","1282474","622775","659699"
"Maryland","5453441","2632897","2820544"
"Massachusetts","6200944","3008977","3191967"
"Michigan","9857477","4834716","5022761"
"Minnesota","4969152","2468112","2501040"
"Mississippi","2830388","1358913","1471475"
"Missouri","5632603","2753704","2878899"
"Montana","897367","444448","452919"
"Nebraska","1706343","839147","867196"
"Nevada","2376017","1197457","1178560"
"New Hampshire","1271897","625109","646788"
"New Jersey","8524868","4149011","4375857"
"New Mexico","1886789","918500","968289"
"New York","18679211","9004389","9674822"
"North Carolina","8397785","4106892","4290893"
"North Dakota","621063","305689","315374"
"Ohio","11146050","5424124","5721926"
"Oklahoma","3429974","1681512","1748462"
"Oregon","3560922","1766143","1794779"
"Pennsylvania","11948862","5773248","6175614"
"Rhode Island","1033284","498063","535221"
"South Carolina","4127391","1994882","2132509"
"South Dakota","755152","370390","384762"
"Tennessee","5816359","2834800","2981559"
"Texas","22250152","10967477","11282675"
"Utah","2452149","1228465","1223684"
"Vermont","609857","302216","307641"
"Virginia","7320848","3560198","3760650"
"Washington","6157786","3062372","3095414"
"West Virginia","1781817","875214","906603"
"Wisconsin","5401740","2661382","2740358"
"Wyoming","494170","245576","248594"
